Best Array,Sample Name
a550810-4350750-012419-163_E05,Schneider_E300
a550810-4350750-012419-163_E06,Schneider_E301
a550810-4350750-012419-163_E07,Schneider_E302
a550810-4350750-012419-163_E08,Schneider_E303
a550810-4350750-012419-163_E09,Schneider_E304
a550810-4350750-012419-163_E10,Schneider_E305
a550810-4350750-012419-163_E11,Schneider_E306
a550810-4350750-012419-163_E12,Schneider_E307
a550810-4350750-012419-163_F01,Schneider_E308
a550810-4350750-012419-163_F02,Schneider_E309
a550810-4350750-012419-163_F03,Schneider_E310
a550810-4350750-012419-163_F04,Schneider_E311
a550810-4350750-012419-163_F05,Schneider_E312
a550810-4350750-012419-163_F06,Schneider_E313
a550810-4350750-012419-163_F07,Schneider_E314
a550810-4350750-012419-163_F08,Schneider_E315
a550810-4350750-012419-163_F09,Schneider_E316
a550810-4350750-012419-163_F10,Schneider_E317
a550810-4350750-012419-163_F11,Schneider_E318
a550810-4350750-012419-163_F12,Schneider_E319
a550810-4350750-012419-163_G01,Schneider_E320
a550810-4350750-012419-163_G02,Schneider_E321
a550810-4350750-012419-163_G03,Schneider_E322
a550810-4350750-012419-164_A01,Schneider_F323
a550810-4350750-012419-164_A02,Schneider_F324
a550810-4350750-012419-164_A03,Schneider_F325
a550810-4350750-012419-164_A04,Schneider_F326
a550810-4350750-012419-164_A05,Schneider_F327
a550810-4350750-012419-164_A06,Schneider_F328
a550810-4350750-012419-164_A07,Schneider_F329
a550810-4350750-012419-164_A08,Schneider_F330
a550810-4350750-012419-164_A09,Schneider_F331
a550810-4350750-012419-164_A10,Schneider_F332
a550810-4350750-012419-164_A11,Schneider_F333
a550810-4350750-012419-164_A12,Schneider_F334
a550810-4350750-012419-164_B01,Schneider_F335
a550810-4350750-012419-164_B02,Schneider_F336
a550810-4350750-012419-164_B03,Schneider_F337
a550810-4350750-012419-164_B04,Schneider_F338
a550810-4350750-012419-164_B05,Schneider_F339
a550810-4350750-012419-164_B06,Schneider_F340
a550810-4350750-012419-164_B07,Schneider_F341
a550810-4350750-012419-164_B08,Schneider_F342
a550810-4350750-012419-164_B09,Schneider_F343
a550810-4350750-012419-164_B10,Schneider_F344
a550810-4350750-012419-164_B11,Schneider_F345
a550810-4350750-012419-164_B12,Schneider_F346
a550810-4350750-012419-164_C01,Schneider_F347
a550810-4350750-012419-164_C02,Schneider_F348
a550810-4350750-012419-164_C03,Schneider_F349
a550810-4350750-012419-164_C04,Schneider_F350
a550810-4350750-012419-164_C05,Schneider_F351
a550810-4350750-012419-164_C06,Schneider_F352
a550810-4350750-012419-164_C07,Schneider_F353
a550810-4350750-012419-164_C08,Schneider_F354
a550810-4350750-012419-164_C09,Schneider_F355
a550810-4350750-012419-164_C10,Schneider_F356
a550810-4350750-012419-164_C11,Schneider_F357
a550810-4350750-012419-164_C12,Schneider_F358
a550810-4350750-012419-164_D01,Schneider_F359
a550810-4350750-012419-164_D02,Schneider_F360
a550810-4350750-012419-164_D03,Schneider_F361
a550810-4350750-012419-164_D04,Schneider_F362
a550810-4350750-012419-164_D05,Schneider_F363
a550810-4350750-012419-164_D06,Schneider_F364
a550810-4350750-012419-164_D07,Schneider_F365
a550810-4350750-012419-164_D08,Schneider_F366
a550810-4350750-012419-164_D09,Schneider_F367
a550810-4350750-012419-164_D10,Schneider_F368
a550810-4350750-012419-164_D11,Schneider_F369
a550810-4350750-012419-164_D12,Schneider_F370
a550810-4350750-012419-164_E01,Schneider_F371
a550810-4350750-012419-164_E02,Schneider_F372
a550810-4350750-012419-164_E03,Schneider_F374
a550810-4350750-012419-164_E04,Schneider_F375
a550810-4350750-012419-164_E05,Schneider_F376
a550810-4350750-012419-164_E06,Schneider_F377
a550810-4350750-012419-164_E07,Schneider_F378
a550810-4350750-012419-164_E08,Schneider_F379
a550810-4350750-012419-164_E09,Schneider_F380
a550810-4350750-012419-164_E10,Schneider_F381
a550810-4350750-012419-164_E11,Schneider_F382
a550810-4350750-012419-164_E12,Schneider_F383
a550810-4350750-012419-164_F01,Schneider_F384
a550810-4350750-012419-164_F02,Schneider_F385
a550810-4350750-012419-164_F03,Schneider_F386
a550810-4350750-012419-164_F04,Schneider_F387
a550810-4350750-012419-164_F05,Schneider_F388
a550810-4350750-012419-164_F06,Schneider_F389
a550810-4350750-012419-164_F07,Schneider_F390
a550810-4350750-012419-164_F08,Schneider_F391
a550810-4350750-012419-164_F09,Schneider_F392
a550810-4350750-012419-164_F10,Schneider_F393
a550810-4350750-012419-164_F11,Schneider_F394
a550810-4350750-012419-164_F12,Schneider_F395
a550810-4350750-012419-164_G01,Schneider_F396
a550810-4350750-012419-164_G02,Schneider_F397
a550810-4361240-070819-472_A01,Schneider_G398
a550810-4361240-070819-472_A02,Schneider_G399
a550810-4361240-070819-472_A03,Schneider_G400
a550810-4361240-070819-472_A04,Schneider_G401
a550810-4361240-070819-472_A05,Schneider_G402
a550810-4361240-070819-472_A06,Schneider_G403
a550810-4361240-070819-472_A07,Schneider_G404
a550810-4361240-070819-472_A08,Schneider_G405
a550810-4361240-070819-472_A09,Schneider_G406
a550810-4361240-070819-472_A10,Schneider_G407
a550810-4361240-070819-472_A11,Schneider_G408
a550810-4361240-070819-472_A12,Schneider_G409
a550810-4361240-070819-472_B01,Schneider_G410
a550810-4361240-070819-472_B02,Schneider_G411
a550810-4361240-070819-472_B03,Schneider_G412
a550810-4361240-070819-472_B04,Schneider_G413
a550810-4361240-070819-472_B05,Schneider_G414
a550810-4361240-070819-472_B06,Schneider_G415
a550810-4361240-070819-472_B07,Schneider_G416
a550810-4361240-070819-472_B08,Schneider_G417
a550810-4361240-070819-472_B09,Schneider_G418
a550810-4361240-070819-472_B10,Schneider_G419
a550810-4361240-070819-472_B11,Schneider_G420
a550810-4361240-070819-472_B12,Schneider_G421
a550810-4361240-070819-472_C01,Schneider_G422
a550810-4361240-070819-472_C02,Schneider_G423
a550810-4361240-070819-472_C03,Schneider_G424
a550810-4361240-070819-472_C04,Schneider_G425
a550810-4361240-070819-472_C05,Schneider_G426
a550810-4361240-070819-472_C06,Schneider_G427
a550810-4361240-070819-472_C07,Schneider_G428
a550810-4361240-070819-472_C08,Schneider_G429
a550810-4361240-070819-472_C09,Schneider_G430
a550810-4361240-070819-472_C10,Schneider_G431
a550810-4361240-070819-472_C11,Schneider_G432
a550810-4361240-070819-472_C12,Schneider_G433
a550810-4361240-070819-472_D01,Schneider_G434
a550810-4361240-070819-472_D02,Schneider_G435
a550810-4361240-070819-472_D03,Schneider_G436
a550810-4361240-070819-472_D04,Schneider_G437
a550810-4361240-070819-472_D05,Schneider_G438
a550810-4361240-070819-472_D06,Schneider_G439
a550810-4361240-070819-472_D07,Schneider_G440
a550810-4361240-070819-472_D08,Schneider_G441
a550810-4361240-070819-472_D09,Schneider_G442
a550810-4361240-070819-472_D10,Schneider_G443
a550810-4361240-070819-472_D11,Schneider_G444
a550810-4361240-070819-472_D12,Schneider_G445
a550810-4361240-070819-472_E01,Schneider_G446
a550810-4361240-070819-472_E02,Schneider_G447
a550810-4361240-070819-472_E03,Schneider_G448
a550810-4361240-070819-472_E04,Schneider_G449
a550810-4361240-070819-472_E05,Schneider_G450
a550810-4361240-070819-472_E06,Schneider_G451
a550810-4361240-070819-472_E07,Schneider_G452
a550810-4361240-070819-472_E08,Schneider_G453
a550810-4361240-070819-472_E09,Schneider_G454
a550810-4361240-070819-472_E10,Schneider_G455
a550810-4361240-070819-472_E11,Schneider_G456
a550810-4361240-070819-472_E12,Schneider_G457
a550810-4361240-070819-472_F01,Schneider_G458
a550810-4361240-070819-472_F02,Schneider_G459
a550810-4361240-070819-472_F03,Schneider_G460
a550810-4361240-070819-472_F04,Schneider_G461
a550810-4361240-070819-472_F05,Schneider_G462
a550810-4361240-070819-472_F06,Schneider_G463
a550810-4361240-070819-472_F07,Schneider_G464
a550810-4361240-070819-472_F08,Schneider_G465
a550810-4361240-070819-472_F09,Schneider_G466
a550810-4361240-070819-472_F10,Schneider_G467
a550810-4361240-070819-472_F11,Schneider_G468
a550810-4361240-070819-472_F12,Schneider_G469
a550810-4361240-070819-472_G01,Schneider_G470
a550810-4361240-070819-472_G02,Schneider_B55
a550810-4361240-070819-472_G03,Schneider_B56
